y_obs,ca_obs,r_obs
-2.7531613101682337,-1.2598591463593862,6.026178168154839
-2.732799437483761,-1.2982767747753265,5.754059853026404
-2.6554250611663752,-1.0243669527173502,5.480736651868066
-2.5751700635878234,-1.1153710411698738,5.261061320839787
-2.494043724078403,-1.3712894949746564,5.102595853371307
-2.46649069027644,-1.6960401390391828,5.0832176038861805
-2.4113883098001683,-1.3471326391877487,5.119980967510864
-2.378334281208313,-1.3242833197316006,4.9759861766564
-2.3508009349719483,-1.306037541454202,4.845005090166603
-2.287886314685419,-0.901392268457932,4.679617525276844
-2.232007498771808,-0.512815540181867,4.427974497440796
